Company,Address1,City,State,Postcode,Phone,Email,Full Address,Latitude,Longitude
IGA Princes Hill,1/9 Logon Street Brunswick,Brunswick,VIC,3056,,,"1/9 Logon Street Brunswick , Brunswick, VIC 3056, Australia",-37.7786286,144.970354
Powerhouse Gym Point Cook,1 Linmax Court,Point Cook,VIC,3030,,,"1 Linmax Court, Point Cook, VIC 3030, Australia",-37.8741393,144.7395709
IGA Altona North,63 The Circle,Altona North,VIC,3025,,,"63 The Circle, Altona North, VIC 3025, Australia",-37.836283,144.863272
Second Ave Grocer,62-76 Second Avenue,Altona North,VIC,3025,,,"62-76 Second Avenue , Altona North, VIC 3025, Australia",-37.836538,144.853682
IGA Franklin Street,58 Franklin Street,Melbourne,VIC,3000,,,"58 Franklin Street , Melbourne, VIC 3000, Australia",-37.8076805,144.9609734
IGA Brunswick East,326-328 Lygon Street,Brunswick East,VIC,3057,,,"326-328 Lygon Street, Brunswick East, VIC 3057, Australia",-37.7686685,144.9724559
IGA Northcote,284 High Street,Northcote,VIC,3070,,,"284 High Street, Northcote, VIC 3070, Australia",-37.7717065,144.9986162
Atomic Gym,109 Miller Street,Epping,VIC,3076,,,"109 Miller Street , Epping, VIC 3076, Australia",-37.642161,145.020487
CBW Express,Tg02 181 William Street,Melbourne,VIC,3000,,,"Tg02 181 William Street, Melbourne, VIC 3000, Australia",-37.8151891,144.9575872
KF Fitness,33 Middle St,Hadfield,VIC,3046,,,"33 Middle St, Hadfield, VIC 3046, Australia",-37.7106101,144.9485937
Foodworks Southbank,182 City Rd,Southbank,VIC,3006,,,"182 City Rd , Southbank, VIC 3006, Australia",-37.824021,144.961932
Equilibrium Health And Fitness,855 Plenty Road,South Morang,VIC,3752,,,"855 Plenty Road, South Morang, Melbourne, VIC 3752, Australia",-37.6489788,145.089981
Silverback Strength Gym & Supplements,14-18 High St Bendigo,Bendigo,VIC,3550,,,"14-18 High St Bendigo, Bendigo, VIC 3550, Australia",-36.7604119,144.2763159
IGA Yarraville,12-14 Anderson St,Yarraville,VIC,3013,,,"12-14 Anderson St, Yarraville, VIC 3013, Australia",-37.8164984,144.8914479
South Gate Express,"Shop P10, 3 Southgate Avenue ",Southbank,VIC,3006,,,"Shop P10, 3 Southgate Avenue , Southbank, VIC 3006, Australia",-37.820556,144.965833
Anytime Fitness Sunshine,324-328 Hampshire Road,Sunshine,VIC,3020,,,"324-328 Hampshire Road, Sunshine, VIC 3020, Australia",-37.7827628,144.8341793
IGA Richmond Plus Liquor,518 Bridge Road,Richmond,VIC,3121,,,"518 Bridge Road, Richmond, VIC 3121, Australia",-37.8198978,145.0093687
Maxi IGA Castlemaine,11 Hargraves Street,Castlemaine,VIC,3450,,,"11 Hargraves Street, Castlemaine, VIC 3450, Australia",-37.0654989,144.2191984
Country Fresh Grocers Ballan,135 Inglis St,Ballan,VIC,3342,,,"135 Inglis St, Ballan, VIC 3342, Australia",-37.6004486,144.2249569
Foodworks Doreen,100 Cookes Road,Doreen,VIC,3754,,,"100 Cookes Road, Doreen, VIC 3754, Australia",-37.5993463,145.1142726
